Title,Company,Location,Created,Category,Description,URL,Latitude,Longitude,mainJOB
Senior Engineer - DO178 V&V,Wind River,"Bangalore, Karnataka",2025-07-29T17:00:08Z,Engineering Jobs,"Description Position at Wind River ABOUT WIND RIVER Wind River is a global leader in delivering software for mission-critical intelligent systems. For more than four decades, the company has been an innovator and pioneer, powering billions of systems that require the highest levels of security, safety, and reliability. Wind River helps customers across automotive, aerospace, defense, industrial, medical, and telecommunications industries solve complex technology challenges on their journey towa…",https://www.adzuna.in/details/5326531956?utm_medium=api&utm_source=c8890522,12.95703,77.59837,Domain Expert
Senior Enterprise Software Test Engineer,Medtronic,India,2025-07-25T09:53:31Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You'll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You'll lead with purpose, breaking down barriers to innovation in a more connected, compassionate wo…",https://www.adzuna.in/land/ad/5321173258?se=HAFzK4Vy8BGLg5Mr_g3qvw&utm_medium=api&utm_source=c8890522&v=F1E50F2A211A1873175CFE9E6810CFCA09E11351,22.3511148,78.6677428,Domain Expert
Senior Enterprise Software Test Engineer,Medtronic,India,2025-07-25T09:53:31Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You'll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You'll lead with purpose, breaking down barriers to innovation in a more connected, compassionate wo…",https://www.adzuna.in/land/ad/5321173253?se=HAFzK4Vy8BGLg5Mr_g3qvw&utm_medium=api&utm_source=c8890522&v=621156484064812C4EA41F2C1D11B26DAA14D18F,22.3511148,78.6677428,Domain Expert
Enterprise Software Engineer – II,Medtronic,India,2025-07-30T17:08:03Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Required Knowledge and Experience: 5 years of industry experience in Software Desktop Development Proficiency with one or more of the following programming languages: C++, C#, WPF, Windows Proficiency in one or more of the following tools…",https://www.adzuna.in/details/5328209270?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Verification and Validation Engineering Leader,GE Vernova,India,2025-07-25T08:43:56Z,Engineering Jobs,"Job Description Summary This role primarily involves managing a team responsible for overall installation of control system in lab for HVDC projects. Furthermore, this team is also responsible for making sure that the control systems are thoroughly integrated and verified, to maximum possible extent, within our controls lab and then re-verified together with the remainder of the HVDC scheme during the static and dynamic commissioning process at site. In this role the candidate will be reporting…",https://www.adzuna.in/details/5321141568?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Senior Enterprise Software Engineer,Medtronic,India,2025-08-05T17:15:39Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Senior Software Engineer for the R&D Engineering function of Medtronic Engineering and Innovation Center R&D facility. The individual will operate in all phases and contribute to all activities of the software development process. Candida…",https://www.adzuna.in/details/5338341680?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Enterprise Software Engineer II,Medtronic,India,2025-07-29T16:59:51Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Careers that Change Lives The Engineering R & D function at Medtronic Engineering & Innovation Centre ( MEIC), Hyderabad As a Software Engineer on this team, you will work closely with Sr. level team members to understand customer needs a…",https://www.adzuna.in/details/5326531361?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Senior Enterprise Software Test Engineer,Medtronic,India,2025-07-30T17:02:46Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate wo…",https://www.adzuna.in/details/5328201227?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Senior Enterprise Software Test Engineer,Medtronic,India,2025-07-30T17:06:18Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate wo…",https://www.adzuna.in/details/5328206421?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Senior Enterprise Software Engineer,Medtronic,India,2025-07-29T17:00:05Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life As Senior Enterprise Software Engineer, you will design, Develop and test Software high integrity software for medical devices. Responsibilities may include the following and other duties may be assigned Design, Develop and test Software …",https://www.adzuna.in/details/5326531880?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Principal Enterprise Software Engineer,Medtronic,India,2025-07-29T16:58:35Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Careers that Change Lives Principal Data Software Engineer in the Cardiac Rhythm Disease Management (CRDM) R&D Software Organization developing software supporting Medtronic implantable cardiac devices. The individual will operate in all …",https://www.adzuna.in/details/5326528715?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Enterprise Software Engineer - II,Medtronic,India,2025-07-29T17:06:10Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Careers that Change Lives Software Engineer II in the Cardiac Rhythm Management (CRM) R&D Software Organization developing software supporting Medtronic implantable cardiac devices working from the Medtronic Engineering and Innovation Cen…",https://www.adzuna.in/details/5326547998?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Embedded Eng Manager,Honeywell,"Bangalore, Karnataka",2025-08-02T10:10:46Z,Engineering Jobs,"Job Title: Embedded Eng Manager Department: Quality Assurance / Testing / V&V Job Overview: The Test Engineering Manager position in the IA HPS V&V organization and is responsible to spearhead the development and implementation of comprehensive Functional test strategy along with automation and simulation strategy across IA_HPS PAS. Our main customers include the Honeywell Engineering and Technology organization and Technical Support Groups. We provide test services for research, development, q…",https://www.adzuna.in/land/ad/5333852388?se=HAFzK4Vy8BGLg5Mr_g3qvw&utm_medium=api&utm_source=c8890522&v=05FBBC45EEA28217020F30BF6037B43EB1D3AE6F,12.9767936,77.5900820,Domain Expert
"Jr. Engineer, Technical Support",India Mumbai STP,India,2025-07-29T17:08:09Z,Engineering Jobs,Essential Functions: Remote Monitoring and Control of the deployed fleet Work in 6 to 8-hour shifts - either during the day or night Support Field Service Engineers during commissioning and testing of new systems Provide support for the installed systems and escalate as needed Prepare trend charts and participate in analysis Perform in-process inspection of data and notify the global team of anomalies Escalate solutions to known system failure modes ​Perform other duties as assigned Skills Requ…,https://www.adzuna.in/details/5326557343?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Domain Expert
Advance Systems Engineer Field Instruments,Taggd,"Pune, Maharashtra",2025-07-29T00:45:25Z,Engineering Jobs,Roles and Responsibilities To take responsibility of Technical Lead in the project or Lead Individual Units within large projects for Field Instrumentation Ownership to deliver technically correct solution to customers within agreed schedule and budget Work closely with Engineering Supervisor other Leads and Project Manager Understand the customers project Specifications RFQ etc Evaluate the project inputs and collate technical Queries through Emails Teleconference for projects to be executed r…,https://www.adzuna.in/details/5325559540?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Domain Expert
Senior Systems Engineer,Drones Tech Lab,"Kolkata, West Bengal",2025-08-04T17:18:36Z,Engineering Jobs,"Job Title - Senior Systems Engineer Company - Drones Tech Lab™ Experience - 5 to 8 years Industry - Aerospace & Defence (UAV) Location - Kolkata, West Bengal Company Description Drones Tech Lab™ is a leader in India's unmanned aerial systems sector, driving innovation in drone design, manufacturing, pilot training, and mission-critical deployments. With a focus on both hardware and simulation excellence, we develop high-performance UAV systems for a range of applications, including surveillance…",https://www.adzuna.in/details/5337031032?utm_medium=api&utm_source=c8890522,22.57285,88.34373,Domain Expert
Senior Quality Engineer – UAV Systems,Drones Tech Lab,"Kolkata, West Bengal",2025-08-04T17:22:00Z,Engineering Jobs,"Job Title – Senior Quality Engineer – UAV Systems Company – Drones Tech Lab™ Experience – 3 to 5 years Industry – Aerospace & Defence (UAV) Location – Kolkata, West Bengal Company Description Drones Tech Lab™ is a leader in India's unmanned aerial systems sector, driving innovation in drone design, manufacturing, pilot training, and mission-critical deployments. With a focus on both hardware and simulation excellence, we develop high-performance UAV systems for a range of applications, includin…",https://www.adzuna.in/details/5337035773?utm_medium=api&utm_source=c8890522,22.57285,88.34373,Domain Expert
Embedded Firmware Developer,Softwise Mechatronics Private Limited,"Navi Mumbai, Maharashtra",2025-08-01T10:33:01Z,Engineering Jobs,"Company Description Softwise Mechatronics Private Limited provides comprehensive development solutions for Embedded Electronics, Software Development, and New Product Development. We have become a leading service provider for IoT and Industry 4.0 solutions, as well as cloud server development, thanks to our expertise in electronics and software. Our commitment is to delivering cutting-edge solutions for our clients' needs. Visit our website to learn more about our projects and collaboration opp…",https://www.adzuna.in/details/5331295702?utm_medium=api&utm_source=c8890522,19.02,73.02,Firmware Developer
AI/ML Engineer - XR Software (All levels)),Qualcomm,"Bangalore, Karnataka",2025-07-24T09:53:27Z,Engineering Jobs,"Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Systems Engineering General Summary: We are seeking a passionate and skilled AI/ML Engineer to join our cutting-edge Extended Reality (XR) Software team. In this role, you will work on next-generation XR products that blend the physical and digital worlds, leveraging artificial intelligence and machine learning to create immersive, intelligent, and responsive experiences. You will collaborate with cross-fun…",https://www.adzuna.in/land/ad/5319455530?se=ZsQyg4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=34F372FAB35D66AFE715130392FF59CC732B6057,12.95703,77.59837,Firmware Developer
Lead Engineer 2 - Embedded SW Development,GE Vernova,"Telangana, India",2025-08-03T10:10:52Z,Engineering Jobs,Job Description Summary Lead Firmware Engineer will participate in embedded firmware development for the MarkVIe platforms. You will work in a global environment with a skilled cross functional team of engineers creating and improving state-of-the-art platform for use in every kind of power generation application. Job Description Essential Responsibilities - Understand high level system requirements to define the architecture and low-level design requirements and do the implementation. - Design…,https://www.adzuna.in/land/ad/5335619234?se=ZsQyg4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=7CB914A24448DA3C02244AC1277AD6FCECEE1428,17.864111,77.027375,Firmware Developer
"Senior Engineer, Firmware Engineering- Embedded C, PCIe / NVMe SSD",SanDisk,"Bangalore, Karnataka",2025-08-02T10:11:43Z,Engineering Jobs,"Company Description Sandisk understands how people and businesses consume data and we relentlessly innovate to deliver solutions that enable today's needs and tomorrow's next big ideas. With a rich history of groundbreaking innovations in Flash and advanced memory technologies, our solutions have become the beating heart of the digital world we're living in and that we have the power to shape. Sandisk meets people and businesses at the intersection of their aspirations and the moment, enabling …",https://www.adzuna.in/land/ad/5333853004?se=ZsQyg4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=147145A155AB7EB2C4FC017FA06ABCDDD219C294,12.9767936,77.5900820,Firmware Developer
Weekend Drive -2nd August - Digital IT Positions,Flowserve Corporation,"Bangalore, Karnataka",2025-07-16T10:38:21Z,Engineering Jobs,"Flowserve is a world-leading manufacturer and aftermarket service provider of comprehensive flow control systems. Join a company whose people are committed to building a more sustainable future to make the world better for everyone. With 16,000 employees in 50 countries, we combine our global reach with local presence. Our team challenges themselves to approach each situation with ingenuity and creativity to help provide our customers with the most innovative flow control products and services.…",https://www.adzuna.in/land/ad/5305889644?se=ZsQyg4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=6297DE870E162ECEEAF2EE8818E46919D45653C0,12.9767936,77.5900820,Firmware Developer
Firmware Engineer,Xylem,"Vadodara, Gujarat",2025-07-24T09:53:47Z,Engineering Jobs,"Xylem is a Fortune 500 global water solutions company dedicated to advancing sustainable impact and empowering the people who make water work every day. As a leading water technology company with 23,000 employees operating in over 150 countries, Xylem is at the forefront of addressing the world's most critical water challenges. We invite passionate individuals to join our team, dedicated to exceeding customer expectations through innovative and sustainable solutions. Essential Duties/Principal …",https://www.adzuna.in/land/ad/5319455742?se=ZsQyg4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=F7A0A6C26BA321DAAA7425C0FA459F6B4046FD6F,22.2891,73.1924,Firmware Developer
"Staff Engineer , Firmware Engineering- Embedded C, PCIe / NVMe SSD",SanDisk,"Bangalore, Karnataka",2025-08-03T10:12:12Z,Engineering Jobs,"Company Description Sandisk understands how people and businesses consume data and we relentlessly innovate to deliver solutions that enable today's needs and tomorrow's next big ideas. With a rich history of groundbreaking innovations in Flash and advanced memory technologies, our solutions have become the beating heart of the digital world we're living in and that we have the power to shape. Sandisk meets people and businesses at the intersection of their aspirations and the moment, enabling …",https://www.adzuna.in/land/ad/5335619805?se=ZsQyg4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=3E06602B012CB7F582E4DBDD69F8FB8B02328D89,12.9767936,77.5900820,Firmware Developer
Sr. Firmware Engineer,Ralliant,India,2025-08-01T10:23:05Z,Engineering Jobs,"Your Impact You will be working on sophisticated, industrial, real time operating systems involving real time data acquisition and post processing of data for analysis and reports. This team of engineers develops innovative monitoring systems used for transformer monitoring at electrical sub stations. Here's where you'll demonstrate your proficiencies: - Embedded systems, firmware development with specific focus on Linux and real time embedded systems. - Developing advance firmware solutions fo…",https://www.adzuna.in/land/ad/5331277930?se=ZsQyg4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=5B74B95D6795FE9E196B039830B7ACBEBA33E42C,22.3511148,78.6677428,Firmware Developer
Lead Motor Control Engineer - Power Electronics,Copeland,"Pune, Maharashtra",2025-08-02T10:10:26Z,Engineering Jobs,"About Us We are a global climate technologies company engineered for sustainability. We create sustainable and efficient residential, commercial and industrial spaces through HVACR technologies. We protect temperature-sensitive goods throughout the cold chain. And we bring comfort to people globally. Best-in-class engineering, design and manufacturing combined with category-leading brands in compression, controls, software and monitoring solutions result in next-generation climate technology th…",https://www.adzuna.in/land/ad/5333852262?se=ZsQyg4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=43A1AF3ED5871CE718C1A93886FDA68F34B1FDF5,18.5062,73.84735,Firmware Developer
Weekend Drive -2nd August - Digital IT Positions,Flowserve Corporation,"Bangalore, Karnataka",2025-07-17T02:31:00Z,Engineering Jobs,"We are having weekend drive for Digital team for Bangalore location. Join our Flowserve Digital Team to drive innovation in product development with exciting opportunities across full stack development, embedded systems, firmware engineering, device integration, and product validation. Below are the open requisitions : Required Experience : 5 years onwards 1. R-14815 – Java Full Stack Developer (Senior) Opportunity for experienced Full Stack Developers to contribute to software solutions in Dig…",https://www.adzuna.in/details/5307273114?utm_medium=api&utm_source=c8890522,12.9767936,77.5900820,Firmware Developer
Software Engr II,Honeywell,"Bangalore, Karnataka",2025-08-02T10:10:48Z,Engineering Jobs,"Job Description of Embedded Engineer II Honeywell is a fortune 100 diversified technology and manufacturing leader, serving customers worldwide with aerospace products and services; control technologies for buildings, homes, and industry; automotive products; turbochargers; and specialty materials. Based in Morris Township, N.J., Honeywell's shares are traded on the New York, London, and Chicago Stock Exchanges. As a global technology leader, we have 123,000 employees working in more than 100 c…",https://www.adzuna.in/land/ad/5333852401?se=xpPri4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=595CE67FBA6436FBD5F7113BAA1C657FA8E180BC,12.95703,77.59837,Firmware Developer
Sr Advanced Embedded Engr,Honeywell,"Bangalore, Karnataka",2025-07-24T09:52:47Z,Engineering Jobs,"Job Description of Sr Advanced Embedded Engineer Honeywell is a fortune 100 diversified technology and manufacturing leader, serving customers worldwide with aerospace products and services; control technologies for buildings, homes, and industry; automotive products; turbochargers; and specialty materials. Based in Morris Township, N.J., Honeywell's shares are traded on the New York, London, and Chicago Stock Exchanges. As a global technology leader, we have 123,000 employees working in more t…",https://www.adzuna.in/land/ad/5319454803?se=xpPri4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=BFC1144CEC9D7DFF20D67365FB22B5067F063491,12.95703,77.59837,Firmware Developer
Technology Specialist - Firmware,Resideo,India,2025-07-16T10:39:58Z,Engineering Jobs,"Be part of a team that designs, develops and integrates embedded firmware for the latest in home automation IOT devices for comfort applications. With focus on device connectivity, you will be responsible to ensure highly efficient, reliable and predicatable wireless communication between different products, cloud and mobile App. You will use your experience and technical skills to design and implement features targeted for the North American and European residential markets. You will partner w…",https://www.adzuna.in/land/ad/5305892144?se=xpPri4hy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=AA6F821F75E0EBF78FA7EEF3D4EBD9359C861281,22.3511148,78.6677428,Firmware Developer
Lead Firmware Engineer,EMO.energy,"Bangalore, Karnataka",2025-07-29T01:10:08Z,Engineering Jobs,"Company: EMO Energy Location: Bangalore Experience: 7-15 years Company Overview We are a dynamic deep-tech startup focused on revolutionising the future of mobility through the development of a comprehensive end-to-end EV Stack. As we rapidly expand, we are seeking a passionate Lead Firmware Engineer to join our team and contribute to cutting-edge advancements in EV technology and battery systems. Job Summary EMO Energy, a leader in EV battery technology, is seeking a highly skilled Lead Firmwa…",https://www.adzuna.in/details/5325576130?utm_medium=api&utm_source=c8890522,12.9767936,77.5900820,Firmware Developer
Lead Engineer 2 - Embedded SW Development,GE Vernova,"Hyderabad, Telangana",2025-08-01T17:10:14Z,Engineering Jobs,Job Description Summary Lead Firmware Engineer will participate in embedded firmware development for the MarkVIe platforms. You will work in a global environment with a skilled cross functional team of engineers creating and improving state-of-the-art platform for use in every kind of power generation application. Job Description Essential Responsibilities • Understand high level system requirements to define the architecture and low-level design requirements and do the implementation. • Design…,https://www.adzuna.in/details/5331897132?utm_medium=api&utm_source=c8890522,17.40275,78.50806,Firmware Developer
Engineer Embedded Software Development,Emerson,"Pune, Maharashtra",2025-08-02T17:04:59Z,Engineering Jobs,"Description In This Role, Your Responsibilities Will Be: Work on Embedded Firmware projects as a member of Engineering & Design team for new product development, quality improvement and sustaining engineering, in collaboration with Lead Engineers and Technical Leads. Perform the project design and firmware development activities. Report / communicate project progress to stakeholders periodically. Coordinate Firmware / software development activities with stakeholders globally. Assume additional…",https://www.adzuna.in/details/5334343917?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Firmware Developer
Embedded Systems Trainee in Thrissur,Rapid Techs,"Thrissur, Kerala",2025-08-02T08:44:18Z,Engineering Jobs,"Key Responsibilities Work on microprocessors and microcontrollers Engage in embedded firmware and hardware development Perform software and hardware training on Arduino, PIC, ARM, and Raspberry Pi Work on wireless communication & IoT About Company: Rapid Techs is a dynamic organization dedicated to the development of industrial and academic research in various streams of technology. We are one of the leading providers of industrial solutions and academic programs.",https://www.adzuna.in/details/5333711938?utm_medium=api&utm_source=c8890522,10.51358,76.21903,Firmware Developer
Advanced R&D Engr/Scientist,Honeywell,"Pune, Maharashtra",2025-07-31T10:12:22Z,Engineering Jobs,"- Design, develop, and optimize embedded firmware for IP cameras running on Linux platforms (e.g., ARM-based SoCs like Rockchip, Ambarella, HiSilicon, etc.) - Integrate and maintain ONVIF protocol stack to ensure full interoperability with NVRs/VMS platforms - Work with multimedia frameworks (e.g., GStreamer, FFmpeg, LIVE555 ) for streaming over RTSP/RTMP/HTTP - Implement features related to video capture, encoding (H.264/H.265), motion detection, and audio integration - Develop and debug devic…",https://www.adzuna.in/land/ad/5329354501?se=rqXolIhy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=4EC7240E0830A12B169DC2F97301868CF6B6A82D,18.5062,73.84735,Firmware Developer
Sr. Engineer - Model Based Development,AGCO Corporation,"Pune, Maharashtra",2025-07-12T10:40:21Z,Engineering Jobs,"Sr. Engineer - Model Based Development Date: Jul 10, 2025 Req ID: 101309 Location: Pune, MH, IN Workplace Type: Hybrid/Remote Do you want to help solve the world's most pressing challenges? Feeding the world's growing population and slowing climate change are two of the world's greatest challenges. AGCO is a part of the solution! Join us to make your contribution. AGCO is looking to hire candidates for the position of Sr. Engineer - Model-based Development (MBD) The Senior Software Engineer - M…",https://www.adzuna.in/land/ad/5299199050?se=rqXolIhy8BGyDOfQ7aaPRw&utm_medium=api&utm_source=c8890522&v=157E2E585EDE5F714880704E78150C60663B74AB,18.5062,73.84735,Firmware Developer
Team Leader - Embedded Development,Immunity Networks & Technologies Pvt. Ltd.,"Ambawadi, Ahmedabad",2025-08-05T21:31:43Z,Engineering Jobs,"We are seeking a skilled Firmware Developer to design, develop, and maintain embedded software solutions for our Wireless Access Points. This role involves close collaboration with Web Development Team, Cloud Team and self research and Development on the various firmware modules. The Firmware Developer will be expected to develop various Features within the Access Points, test them and plan the roll out as per plan. Firmware Development: Design, implement, and test firmware for embedded systems…",https://www.adzuna.in/details/5338563730?utm_medium=api&utm_source=c8890522,23.02625,72.57065,Firmware Developer
