Title,Company,Location,Created,Category,Description,URL,Latitude,Longitude,BestJobRole,mainJOB
Technology Specialist - Firmware,Resideo,India,2025-07-16T10:39:58Z,Engineering Jobs,"Be part of a team that designs, develops and integrates embedded firmware for the latest in home automation IOT devices for comfort applications. With focus on device connectivity, you will be responsible to ensure highly efficient, reliable and predicatable wireless communication between different products, cloud and mobile App. You will use your experience and technical skills to design and implement features targeted for the North American and European residential markets. You will partner w…",https://www.adzuna.in/land/ad/5305892144?se=4leHXYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=AA6F821F75E0EBF78FA7EEF3D4EBD9359C861281,22.3511148,78.6677428,Firmware Engineer – Home Automation Modules,Firmware Developer
Embedded Engineer,Codeft Software Solutions,"Hyderabad, Telangana",2025-07-11T07:43:22Z,Engineering Jobs,"What we’re looking for We are seeking a talented and driven individual with a passion for building innovative technology that safeguards industrial workers. This is a rare opportunity to work at the intersection of embedded systems, electronics, and industrial IoT — with a clear mission to improve the future of environmental health and safety. You’ll join forces with our founding team to drive both embedded firmware development and electrical hardware design. What you’ll be building Lead the de…",https://www.adzuna.in/details/5297186972?utm_medium=api&utm_source=c8890522,17.40275,78.50806,Software Developer – Industrial HMI Systems,Firmware Developer
Embedded Engineer,7Semi,"Navi Mumbai, Maharashtra",2025-07-14T09:35:21Z,Engineering Jobs,"Location: Juinagar, Navi Mumbai (Onsite) Job Type: Full-Time At 7Semi, we build high-performance embedded systems and IoT hardware for modern applications. Our team combines expertise in electronics, firmware, and system design to deliver innovative solutions. We’re seeking a talented Embedded Engineer with strong skills in PCB design, testing, and technical documentation to join us. Key Responsibilities Design and develop embedded systems, including firmware and hardware integration. Work on P…",https://www.adzuna.in/details/5301587707?utm_medium=api&utm_source=c8890522,19.02,73.02,Firmware Engineer – Consumer Electronics Controllers,Firmware Developer
Sr. Engineer - Model Based Development,AGCO Corporation,"Pune, Maharashtra",2025-07-12T10:40:21Z,Engineering Jobs,"Sr. Engineer - Model Based Development Date: Jul 10, 2025 Req ID: 101309 Location: Pune, MH, IN Workplace Type: Hybrid/Remote Do you want to help solve the world's most pressing challenges? Feeding the world's growing population and slowing climate change are two of the world's greatest challenges. AGCO is a part of the solution! Join us to make your contribution. AGCO is looking to hire candidates for the position of Sr. Engineer - Model-based Development (MBD) The Senior Software Engineer - M…",https://www.adzuna.in/land/ad/5299199050?se=TliEZ4to8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=157E2E585EDE5F714880704E78150C60663B74AB,18.5062,73.84735,Software Engineer – Remote Patient Terminals,Firmware Developer
Weekend Drive -2nd August - Digital IT Positions,Flowserve Corporation,"Bangalore, Karnataka",2025-07-17T02:31:00Z,Engineering Jobs,"We are having weekend drive for Digital team for Bangalore location. Join our Flowserve Digital Team to drive innovation in product development with exciting opportunities across full stack development, embedded systems, firmware engineering, device integration, and product validation. Below are the open requisitions : Required Experience : 5 years onwards 1. R-14815 – Java Full Stack Developer (Senior) Opportunity for experienced Full Stack Developers to contribute to software solutions in Dig…",https://www.adzuna.in/details/5307273114?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Embedded Developer – Electric Drive Systems,Firmware Developer
Embedded Firmware Engineer,Quintrans,"Pune, Maharashtra",2025-07-21T08:03:27Z,Engineering Jobs,"About Us: We are building next generation of motors and control systems for applications in robotics, electric vehicles, automation, and industrial motion. Our focus is on creating cost-efficient, high-performance linear and rotary actuators for OEMs across India and globally. We’re looking for a hands-on embedded systems engineer with deep experience in PMSM and BLDC motor control, who thrives in fast-paced development cycles and wants to make a meaningful impact on real-world motion systems. …",https://www.adzuna.in/details/5314143881?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Firmware Engineer – Motion Control Systems,Firmware Developer
Tech Lead - Firmware,Resideo,India,2025-07-02T20:28:30Z,Engineering Jobs,"Description We are looking for an Embedded Developer to design, develop, and optimize custom RTOS solutions for embedded systems. This role involves working closely with hardware, firmware, and application teams to deliver optimized embedded platforms. You will use your experience and technical skills to design and implement features targeted for the North American and European residential markets. Partner with world-class engineers and leaders, using your strategic thinking to anticipate probl…",https://www.adzuna.in/details/5280021575?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Application Developer – Smart Energy Platforms,Firmware Developer
Sr Staff Engineer- Post Silicon System validation/Functional validation lead,Renesas,"Hyderabad, Telangana",2025-07-12T10:46:12Z,Engineering Jobs,"Sr Staff Engineer- Post Silicon System validation/Functional validation lead Job Description Seeking a technically strong and proactive Post-Silicon System Validation / Functional Validation Lead to drive the planning, execution, and debug of system-level validation of IP and SoC/MCU designs. This role is critical in verifying functional correctness, feature compliance, performance, and robustness of silicon devices across use cases, voltage/temperature corners, and real application conditions.…",https://www.adzuna.in/land/ad/5299205422?se=TliEZ4to8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=3CFA6F465F3DE6A06AF4B277FEE7D84C7310B296,17.40275,78.50806,Embedded Developer – Electric Drive Systems,Firmware Developer
"Firmware, Principal Technical Expert",Schneider Electric,India,2025-07-04T21:06:41Z,Engineering Jobs,"Bachelor's or Master's degree in Electronics and Communication, Embedded system, Electrical /Electronics Engineering, or a related field. 8 to 14 years of experience in embedded systems firmware development, specifically with Linux-based platforms. Position Overview\: Schneider Electric - Secure Power is looking for a Firmware Developer knowledgeable in embedded product development. She/He will be owning the firmware of different range of three phase UPS products while working with other expert…",https://www.adzuna.in/details/5285181106?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Firmware Engineer – Consumer Electronics Controllers,Firmware Developer
Lead Engineer 2 - Embedded SW Development,GE Vernova,"Hyderabad, Telangana",2025-07-18T02:43:26Z,Engineering Jobs,Job Description Summary Lead Firmware Engineer will participate in embedded firmware development for the MarkVIe platforms. You will work in a global environment with a skilled cross functional team of engineers creating and improving state-of-the-art platform for use in every kind of power generation application. Job Description Essential Responsibilities • Understand high level system requirements to define the architecture and low-level design requirements and do the implementation. • Design…,https://www.adzuna.in/details/5309016052?utm_medium=api&utm_source=c8890522,17.40275,78.50806,Application Developer – Smart Energy Platforms,Firmware Developer
"Firmware, Principal Technical Expert",Schneider Electric,India,2025-07-18T02:30:33Z,Engineering Jobs,"Position Overview\: Schneider Electric - Secure Power is looking for a Firmware Developer knowledgeable in embedded product development. She/He will be owning the firmware of different range of three phase UPS products while working with other experts in the domain. As an Embedded developer, she/he will be responsible for designing, developing, and maintaining embedded software solutions based on the Linux operating system. Direct experience in product development is essential and background in…",https://www.adzuna.in/details/5308975060?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Embedded Developer – Electric Drive Systems,Firmware Developer
Senior Design Engineer - Electrical,Schneider Electric,India,2025-07-18T02:43:39Z,Engineering Jobs,Qualifications / Requirements ME / M. Tech\: Power Electronics ( Mandatory ) Minimum 5 Years ( After Masters Educations ) Post Education Experience in Power Conversion full time role Good oral & written communication in English. Self Organizing under challenging circumstances Good team player & able to manage diverse stakeholders The primary responsibility of the role includes (but is not limited to): The Senior Designer masters a strategic technology domain (Power Conversion) actively develops…,https://www.adzuna.in/details/5309016588?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Firmware Engineer – Consumer Electronics Controllers,Firmware Developer
Firmware Senior Principal Technical Expert,Schneider Electric,India,2025-07-19T02:45:15Z,Engineering Jobs,"BS or higher in Computer Science/Engineering, Electrical Engineering, Physics or proof of exceptional skills in related fields, with practical experience Strong software fundamentals including architectural design, algorithm development, data structures, code modularity, and maintainability 3 years of experience in battery management systems 7 years of solid experience in embedded firmware development 2 years Agile Product Development experience Job Description: Deep decarbonization of electric…",https://www.adzuna.in/details/5310714125?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Firmware Developer – Battery Management Systems,Firmware Developer
Electronics & Electrical Engineer,Edition,"Bangalore, Karnataka",2025-07-20T07:58:51Z,Engineering Jobs," Location: Bangalore • ⏱ Full-Time On-Site  About Edition As a core part of our hardware engineering team, you’ll create and integrate electrical architectures powering our smart home products—blending connectivity, reliability, and intelligence.  What You’ll Do Circuit Design & Firmware Integration: Design, prototype, and validate PCBs for IoT-enabled consumer devices Embedded Systems & Connectivity: Develop embedded firmware, select sensors, and integrate Wi-Fi/Bluetooth modules aligned with …",https://www.adzuna.in/details/5313131573?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Firmware Engineer – Home Automation Modules,Firmware Developer
Technical Lead Embedded Control Firmware,SolarEdge,India,2025-07-24T00:52:34Z,Engineering Jobs,"Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 4,000 employees, offices in 34 countries, and millions of installations worldwide. Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond. With the growing demand for electricity, the need for smar…",https://www.adzuna.in/details/5318479665?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Application Developer – Smart Energy Platforms,Firmware Developer
Senior Manager - R&D Power Electronics,Schneider Electric,India,2025-07-20T02:35:07Z,Engineering Jobs,"Lauritz Knudsen Electrical and Automation (A unit of Schneider Electric India Pvt. Ltd.) is a pioneering electrical and automation brand with a rich legacy of over 70 years in India. We offer comprehensive portfolio of low-voltage switchgear, medium-voltage switchgear, automation solutions, software, and services catering to diverse segments, including homes, agriculture, buildings, infrastructure, and industry. Key Responsibilities: 1. More than 6 years Hand on Experience in Development of Ac …",https://www.adzuna.in/details/5312882521?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Firmware Engineer – Home Automation Modules,Firmware Developer
Deputy General Manager,Schneider Electric,"Navi Mumbai, Maharashtra",2025-06-25T10:03:44Z,Engineering Jobs,"Lauritz Knudsen Electrical and Automation (A unit of Schneider Electric India Pvt. Ltd.) is a pioneering electrical and automation brand with a rich legacy of over 70 years in India. We offer comprehensive portfolio of low-voltage switchgear, mediumvoltage switchgear, automation solutions, software, and services catering to diverse segments, including homes, agriculture, buildings, infrastructure, and industry. L&T Switchgear is now Lauritz Knudsen Electrical & Automation. Position Title: DGM –…",https://www.adzuna.in/details/5266676079?utm_medium=api&utm_source=c8890522,19.02,73.02,Firmware Engineer – Home Automation Modules,Firmware Developer
Staff Sr.Design Engineer- Firmware,Schneider Electric,India,2025-07-19T02:44:08Z,Engineering Jobs,We are looking for a control firmware engineer with 8 years of experience in embedded communication firmware development with expertise in Description Understand product requirements / Firmware specifications / communications firmware architecture for Solar Energy Grid Tie / Off Grid Inverters /Back-up systems / Auxiliary Products like communication Gateways and Operator/service Interfaces applications. Hands on Code Implementation / debugging / development and testing of systems Development of…,https://www.adzuna.in/details/5310710641?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Embedded Developer – Defense Communication Terminals,Firmware Developer
Senior Engineer - Embedded Hardware Design,Flowserve Corporation,"Bangalore, Karnataka",2025-07-17T10:37:49Z,Engineering Jobs,"Flowserve is a world-leading manufacturer and aftermarket service provider of comprehensive flow control systems. Join a company whose people are committed to building a more sustainable future to make the world better for everyone. With 16,000 employees in 50 countries, we combine our global reach with local presence. Our team challenges themselves to approach each situation with ingenuity and creativity to help provide our customers with the most innovative flow control products and services.…",https://www.adzuna.in/land/ad/5307821695?se=ZLBaboto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=564F86A0ADFB02CA5240D459662FD86E78B0B62D,12.9881567,77.6226,Firmware Engineer – Motion Control Systems,Firmware Developer
Senior Embedded Firmware Engineer,TIGI HR,"Bangalore, Karnataka",2025-07-14T09:36:14Z,Engineering Jobs,"Key Responsibilities Design, develop, and test embedded firmware for global product lines Develop firmware for 8/16/32-bit microcontrollers and ARM-based processors Collaborate with the hardware team for seamless integration and debugging Analyze and resolve firmware issues to ensure optimal system performance Work on end-to-end development of IoT , Industrial Automation , and Life Science products Contribute to firmware architecture , documentation , and review cycles ✅ Required Skills & Exper…",https://www.adzuna.in/details/5301592211?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Firmware Engineer – Home Automation Modules,Firmware Developer
Software Engineer-Embedded Systems - nVENT,Tekwissen India,India,2025-07-23T04:48:38Z,Engineering Jobs,"Overview: TekWissen is a global workforce management provider throughout India and many other countries in the world. Position: Software Engineer Embedded Systems - nVENT Location: Bangalore Work Type: Onsite Job Type: Full time Job Description: Designing, developing, reviewing, and maintaining embedded software products. Embedded Software Development Design, code, test and maintain embedded software/firmware for next generation of electrical connected products. Develop low level drivers and in…",https://www.adzuna.in/details/5317311995?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Software Developer – Diagnostic Software Tools,Firmware Developer
Engineer - Printer Firmware (Image Software),Qualcomm,"Bangalore, Karnataka",2025-06-28T23:46:46Z,Engineering Jobs,"Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Software Engineering General Summary: ROLE : Engineer, imaging Software Job Overview Qualcomm has pioneered print interpreter software for over a decade and continuous to play a central role in print data rendering for printer firmware. It is one of the most widely used print language software in the industry, supporting all standard page description languages and their latest features. We are looking for p…",https://www.adzuna.in/land/ad/5273757365?se=ZLBaboto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=7B55570C409C4D96A45F827DAD5BC340B40E6D05,12.95703,77.59837,Software Developer – Diagnostic Software Tools,Firmware Developer
Embedded System Programmer,Netsach Global,"Bangalore, Karnataka",2025-07-01T20:30:53Z,Engineering Jobs,"Greetings from Netsach - A CyberSecurity Company. Job Description: Embedded System Programmer Position Overview: The Embedded System Programmer is responsible for developing, optimizing, and maintaining software for embedded devices and microcontrollers. This role involves low-level programming, real-time operating system (RTOS) integration, and hardware-software interaction for applications in IoT, automotive, medical, consumer electronics, and industrial automation. Job Title: Embedded System…",https://www.adzuna.in/details/5277830233?utm_medium=api&utm_source=c8890522,12.95703,77.59837,Software Developer – Diagnostic Software Tools,Firmware Developer
Embedded Software Engineer,GE HealthCare,"Bangalore, Karnataka",2025-07-11T04:04:36Z,Engineering Jobs,"Job Description Summary Responsible for designing, developing, and testing Embedded Software and Firmware for X-ray generators as well as the software tools necessary for engineering usage within Imaging Sub Systems group of GE HealthCare. As a member of the software development team, the engineer is also expected to take initiatives to consistently improve the work output of the team, and mentor and guide more junior engineers, and help the team by participating in technical design reviews to …",https://www.adzuna.in/land/ad/5296918702?se=AqWufYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=F4EEFE7892F7C68F46B420E51068DE602AAE1518,12.9881567,77.6226,Software Developer – Diagnostic Software Tools,Firmware Developer
Embedded Software Development Engineer,Copeland,"Pune, Maharashtra",2025-07-18T11:43:57Z,Engineering Jobs,"About Us We are a global climate technologies company engineered for sustainability. We create sustainable and efficient residential, commercial and industrial spaces through HVACR technologies. We protect temperature-sensitive goods throughout the cold chain. And we bring comfort to people globally. Best-in-class engineering, design and manufacturing combined with category-leading brands in compression, controls, software and monitoring solutions result in next-generation climate technology th…",https://www.adzuna.in/land/ad/5309606845?se=AqWufYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=9E91E6EE4713B26B126F33F37D36EBC50DB8C647,18.5062,73.84735,Embedded Developer – Biomedical Monitoring Systems,Firmware Developer
"Embedded Software Consulting Engineer, Protection and Control Systems",GE Vernova,"Telangana, India",2025-06-26T23:40:19Z,Engineering Jobs,"Job Description Summary We are seeking a highly experienced and technically authoritative Embedded Software & Firmware Consulting Engineer to lead strategy, architecture, and design initiatives for real-time embedded systems, enabling the product and platform designs for Transmission & Distribution (T&D). This role focuses on defining and guiding secure, resilient embedded platforms for protection relays, communication gateways, Ethernet switches, and industrial wireless devices deployed in sub…",https://www.adzuna.in/land/ad/5269939786?se=AqWufYto8BG13rKjgzy-6Q&utm_medium=api&utm_source=c8890522&v=9FBD772625874DB711486CC09EB04A244409069A,17.864111,77.027375,Embedded Developer – Defense Communication Terminals,Firmware Developer
Embedded Software Engineer,Alteem Instruments,"Ahmedabad, Gujarat",2025-07-16T01:14:19Z,Engineering Jobs,"Integrate and validate new product designs Develops products/process standards & specifications for new products. Design and implement software of embedded devices and systems from requirements to production Design, develop, code, test and debug system software Review code and design Analyze and enhance efficiency and stability of product Interface with hardware design and development Support QA Provide post production support Visit client place if needed for troubleshooting of new products. As…",https://www.adzuna.in/details/5304078638?utm_medium=api&utm_source=c8890522,23.042,72.59465,Software Developer – Diagnostic Software Tools,Firmware Developer
"Software Engineer, Cyber Security Embedded",Danfoss,"Pune, Maharashtra",2025-07-24T09:52:34Z,Engineering Jobs,"Software Engineer, Cyber Security Embedded Requisition ID: 45116 Job Location(s): Pune, IN Employment Type: Full Time Segment: Danfoss Power Solutions Segment Job Function: R&D, Technology and Engineering Work Location Type: Remote The Impact You'll Make Danfoss Power Solutions designs and manufactures a complete range of engineered components and systems. From hydraulics and electrification to fluid conveyance, electronic controls, and software, our solutions are engineered with an uncompromis…",https://www.adzuna.in/land/ad/5319454676?se=OuxygIto8BGUrrSYvW0dZg&utm_medium=api&utm_source=c8890522&v=1FC002DC10D4BAED40B598AF030BDBC17E80109E,18.5062,73.84735,Software Developer – Diagnostic Software Tools,Firmware Developer
Embedded Software Engineer(Fresher),AumRaj Design Systems Pvt Ltd.,"Ahmedabad, Gujarat",2025-07-18T08:38:39Z,Engineering Jobs,"Embedded Domain Embedded Software Engineer(Fresher) Min 0 - 3 Years of Experience BE/B.Tech in Electronics/Electronics & Communication or ME/M.Tech in Electronics/VLSI Design or closely related degree Ahmedabad, Bangalore Roles & Responsibilities Knowledge about different MCU architecture. like 8051, STM, ARM series. Good command in C, C++ Knowledge about protocols. UART, I2C, SPI Good knowledge of logical reasoning Good Communication and interpersonal skills and able to analyse and resolve iss…",https://www.adzuna.in/details/5309398913?utm_medium=api&utm_source=c8890522,23.042,72.59465,Firmware Engineer – Consumer Electronics Controllers,Firmware Developer
Senior Embedded Software Engineer,B Medical Systems India,"Mumbai, Maharashtra",2025-07-12T02:43:57Z,Engineering Jobs,"B Medical Systems India Private Limited At Azenta, new ideas, new technologies and new ways of thinking are driving our future. Our customer focused culture encourages employees to embrace innovation and challenge the status quo with novel thinking and collaborative work relationships. All we accomplish is grounded in our core values of Customer Focus, Achievement, Accountability, Teamwork, Employee Value and Integrity Job Title Senior Embedded Software Engineer Job Description PRIMARY RESPONSI…",https://www.adzuna.in/details/5298599887?utm_medium=api&utm_source=c8890522,19.00821,72.84415,Software Developer – Diagnostic Software Tools,Firmware Developer
Principal Embedded Software Engineer,Ethernovia,"Pune, Maharashtra",2025-07-18T02:38:11Z,Engineering Jobs,"About Ethernovia, Inc. Ethernovia is fundamentally changing how cars of the future are built by unifying in-vehicle networks into an end-to-end Ethernet system. Founded in 2018, we’re inventing the future of automobile’s communication! We are transforming automobiles’ communication network to enable the autonomous driving, electrical vehicle (EV) and software defined revolutions. Our breakthrough compute, communication, and software virtualization ushers in a new era of car connectivity and cap…",https://www.adzuna.in/details/5308990694?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Embedded Developer – Defense Communication Terminals,Firmware Developer
"Embedded Software Engineer, Silicon Security",Google,"Bangalore, Karnataka",2025-07-21T02:29:50Z,Engineering Jobs,"Minimum qualifications: Bachelor's degree in Electrical, Electronics or Computer Engineering, or equivalent practical experience. 2 years of experience in development, testing and deployment of consumer electronics/embedded systems. Experience with embedded programming in C/C++/Rust. Experience with embedded systems, kernel, Linux, Real-Time Operating System (RTOS) or firmware, device driver. Preferred qualifications: Master's degree in Electrical, Electronics or Computer Engineering, or equiva…",https://www.adzuna.in/details/5313921952?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Firmware Engineer – Consumer Electronics Controllers,Firmware Developer
Embedded Software Development Engineer,Copeland,"Pune, Maharashtra",2025-07-20T02:37:15Z,Engineering Jobs,"About Us We are a global climate technologies company engineered for sustainability. We create sustainable and efficient residential, commercial and industrial spaces through HVACR technologies. We protect temperature-sensitive goods throughout the cold chain. And we bring comfort to people globally. Best-in-class engineering, design and manufacturing combined with category-leading brands in compression, controls, software and monitoring solutions result in next-generation climate technology th…",https://www.adzuna.in/details/5312886545?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Embedded Developer – Biomedical Monitoring Systems,Firmware Developer
Embedded Software Verification Engineer - Global Aftermarket,Sensata Technologies India,"Pune, Maharashtra",2025-07-14T02:34:16Z,Engineering Jobs,"Sensata Technologies is recruiting an Embedded Software Verification Engineer to develop test solutions for the systems and products in our Global Aftermarket organization. As an Embedded Software Verification Engineer you will work with a cross-functional team to develop and execute test frameworks and strategies for Tire Pressure Monitoring and RADAR Systems for all types of vehicles and platforms. General Responsibilities Development of system, software and product test plans Development of …",https://www.adzuna.in/details/5301290627?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Software Developer – Diagnostic Software Tools,Firmware Developer
