"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Mech and Installation Design Engineer-3rd Party","Schneider Electric","India","2025-06-28T03:09:21Z","Engineering Jobs","https://www.adzuna.in/details/5272280452?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Mech Surface Modeling Design Engg (EV)","DCS Group","Hyderabad, Telangana","2025-07-18T01:15:16Z","Engineering Jobs","https://www.adzuna.in/details/5308439398?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Mech Surface Modeling Design Engg (EV)","DCS Group","Hyderabad, Telangana","2025-05-06T18:30:41Z","Engineering Jobs","https://www.adzuna.in/details/5183063999?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Sr.Engineer - Design Standards (MECH)","HELLA & Co. KGaA.","India","2025-07-19T02:37:50Z","Engineering Jobs","https://www.adzuna.in/details/5310698147?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Coach Design and Technology","Creya Learning and Research","Raipur, Chhattisgarh","2025-07-17T00:30:55Z","IT Jobs","https://www.adzuna.in/details/5306728197?utm_medium=api&utm_source=c8890522","21.03681","82.2359"
"Mechanical Design Engineers (Power Control Design) - MECH Semiconductor Domain","HCLTech","Bangalore, Karnataka","2025-07-14T09:36:11Z","Engineering Jobs","https://www.adzuna.in/details/5301591696?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"MEchanical Design Engineer- Female Applicants Only","Her second innings","India","2025-06-06T20:48:54Z","Engineering Jobs","https://www.adzuna.in/details/5236371679?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"HVAC Design Engineer","Feasible Technologies Pvt Ltd","Hyderabad, Telangana","2025-06-06T20:45:40Z","Engineering Jobs","https://www.adzuna.in/details/5236367008?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"CREO Design Engineers (Semi ) - MECH Semiconductor Domain","HCLTech","Bangalore, Karnataka","2025-07-14T09:36:11Z","Engineering Jobs","https://www.adzuna.in/details/5301591635?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"WalkIn Drive For New Product (FSS design) - MECH Semiconductor Domain on 12th July 2025 in Bangalore ITPL","HCLTech","Bangalore, Karnataka","2025-07-14T09:35:47Z","Engineering Jobs","https://www.adzuna.in/details/5301590055?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"WalkIn Drive For Mechanical Design Engineers (Power Control Design) - MECH Semiconductor Domain on 12th July 2025 in Bangalore ITPL","HCLTech","Bangalore, Karnataka","2025-07-14T09:36:41Z","Engineering Jobs","https://www.adzuna.in/details/5301594482?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"WalkIn Drive For Mechanical Design Engineers (Power Control Design) - MECH Semiconductor Domain on 12th July 2025 in Bangalore ITPL","HCLTech","Bangalore, Karnataka","2025-07-14T09:36:11Z","Engineering Jobs","https://www.adzuna.in/details/5301591577?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"Mechanical Water Design Engineer","Tata Consulting Engineers Limited","Bangalore, Karnataka","2025-06-21T08:50:24Z","Engineering Jobs","https://www.adzuna.in/details/5260939194?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"Walkin - New Product (FSS design)","HCLTech","India","2025-07-14T09:35:22Z","Engineering Jobs","https://www.adzuna.in/details/5301587848?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"WalkIn Drive For CREO Design Engineers (Semi ) - MECH Semiconductor Domain on 12th July 2025 in Bangalore ITPL","HCLTech","Bangalore, Karnataka","2025-07-14T09:35:48Z","Engineering Jobs","https://www.adzuna.in/details/5301590121?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"WalkIn Drive For Mechanical Design Engineers (UGNX) - MECH Semi Domain on 12th July 2025 in Bangalore ITPL","HCLTech","Bangalore, Karnataka","2025-07-14T09:36:22Z","Engineering Jobs","https://www.adzuna.in/details/5301592710?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"Secondary Design Engineer - Power Quality Solutions","Hitachi","Chennai, Tamil Nadu","2025-06-22T03:02:08Z","Energy, Oil & Gas Jobs","https://www.adzuna.in/details/5262348681?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Fresher Walk-In for Quality Engineer","Stellar Technologies","Thygaraya Nagar, Chennai","2025-06-27T05:53:21Z","IT Jobs","https://www.adzuna.in/details/5270468199?utm_medium=api&utm_source=c8890522","13.04745","80.23635"
"Firmware Architect","Philips","India","2025-07-19T02:30:56Z","IT Jobs","https://www.adzuna.in/details/5310685720?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Design Manager","Melech Business Solutions Pvt Ltd","India","2025-04-20T18:22:27Z","Engineering Jobs","https://www.adzuna.in/details/5154412585?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Any ITI / Diploma / Degree (Male / Female) - Freshers / Experien","Ayush","Coimbatore, Tamil Nadu","2025-07-09T22:53:28Z","Sales Jobs","https://www.adzuna.in/details/5294011085?utm_medium=api&utm_source=c8890522","11.017171","77.100203"
"Manager (Design) – VLSI and Embedded Systems","True Blue HR Consultants","Bangalore, Karnataka","2025-03-10T17:02:54Z","Engineering Jobs","https://www.adzuna.in/details/5084840208?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"Staff/Senior Design Engineer","Stryker","India","2025-05-07T01:53:38Z","Engineering Jobs","https://www.adzuna.in/details/5183974614?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Lead IT SecOps","Junglee Games India","India","2025-07-08T21:13:42Z","IT Jobs","https://www.adzuna.in/details/5292344381?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Sdet III","Junglee Games India","India","2025-07-12T02:40:56Z","IT Jobs","https://www.adzuna.in/details/5298595450?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
